wav,seg_idx,start,end,duration
./chunk_7_deepak/chunk_7.wav,50,14.445,15.876,1.4309999999999992
./chunk_7_deepak/chunk_7.wav,51,15.876,16.308,0.4320000000000004
./chunk_7_deepak/chunk_7.wav,52,16.308,16.335,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,53,16.335,16.362,0.02699999999999747
./chunk_7_deepak/chunk_7.wav,54,16.362,16.443,0.08100000000000307
./chunk_7_deepak/chunk_7.wav,55,16.443,16.578,0.134999999999998
./chunk_7_deepak/chunk_7.wav,56,16.578,16.605,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,57,16.605,16.632,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,58,16.632,17.145,0.5129999999999981
./chunk_7_deepak/chunk_7.wav,59,17.145,17.198999999999998,0.053999999999998494
./chunk_7_deepak/chunk_7.wav,60,17.198999999999998,17.334,0.13500000000000156
./chunk_7_deepak/chunk_7.wav,61,17.334,17.387999999999998,0.053999999999998494
./chunk_7_deepak/chunk_7.wav,62,17.387999999999998,20.142,2.7540000000000013
./chunk_7_deepak/chunk_7.wav,63,20.142,20.169,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,64,20.169,20.304,0.134999999999998
./chunk_7_deepak/chunk_7.wav,65,20.304,21.222,0.9180000000000028
./chunk_7_deepak/chunk_7.wav,66,21.222,21.249,0.02699999999999747
./chunk_7_deepak/chunk_7.wav,67,21.249,21.492,0.2430000000000021
./chunk_7_deepak/chunk_7.wav,68,21.492,21.519,0.02699999999999747
./chunk_7_deepak/chunk_7.wav,69,21.519,21.843,0.3240000000000016
./chunk_7_deepak/chunk_7.wav,70,21.843,21.87,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,71,21.87,22.113,0.24299999999999855
./chunk_7_deepak/chunk_7.wav,72,22.113,22.14,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,73,22.14,22.355999999999998,0.21599999999999753
./chunk_7_deepak/chunk_7.wav,74,22.355999999999998,22.383,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,75,22.383,23.841,1.458000000000002
./chunk_7_deepak/chunk_7.wav,76,23.841,23.868,0.02699999999999747
